step,vehicle_id,x_position,y_position,speed,lane_index
0,2158218568576,780.2524816273257,4.0,22.894747942958176,1
0,2158218568288,792.6763633726285,4.0,21.446371758769157,1
0,2158218569344,805.7808906730885,0.0,21.20285510029226,0
0,2158218568192,819.6417948971153,0.0,23.99564110243132,0
0,2158218569824,833.6289645698349,0.0,22.331254951695094,0
0,2158218569872,846.0664400329294,0.0,22.09539052148834,0
0,2158218569920,859.7783145342041,0.0,23.24853509281154,0
0,2158218569968,874.3146530716185,4.0,22.81211292027372,1
0,2158218570016,889.4570019648489,4.0,23.712796803074497,1
0,2158218570064,903.4121892939205,4.0,21.227698143236026,1
0,2158218570112,917.5761087839452,0.0,22.851666381720925,0
0,2158218570160,930.994008105496,4.0,21.594121042656926,1
0,2158218570208,943.9603665802422,0.0,23.64107281518134,0
0,2158218570256,956.0711863607535,4.0,22.484905506645944,1
0,2158218570304,971.1157834095156,0.0,23.871064697316083,0
0,2158218570352,984.3861357175442,0.0,21.888887462819472,0
0,2158218570400,998.8305884478913,0.0,23.819139148461986,0
0,2158218570448,1012.2036315092433,0.0,21.59694377209159,0
0,2158218570496,1026.839126597632,4.0,23.483493551070584,1
0,2158218570544,1038.880889995169,0.0,21.339637639910297,0
1,2158218567328,252.6666053378091,4.0,25.0,1
1,2158218566848,261.77689655839225,0.0,20.450721276873942,0
1,2158218566944,275.86601903590724,4.0,17.566751237190086,1
1,2158218568816,289.8706028495413,4.0,18.277772168185564,1
1,2158218566992,305.92038687777966,0.0,20.895628114697328,0
1,2158218568864,320.245043154861,4.0,17.76284238706324,1
1,2158218566416,333.650735596902,4.0,16.634599325020776,1
1,2158218566896,345.9793977319141,4.0,17.709812718427557,1
1,2158218566464,359.10803659303514,0.0,18.266190290780774,0
1,2158218566800,374.0596402347725,4.0,17.27393973319223,1
1,2158218569296,386.1681929754115,4.0,19.323670343803716,1
1,2158218569200,396.23911829747504,0.0,15.258886177548597,0
1,2158218568336,410.7717296236268,0.0,17.096481650958076,0
1,2158218569392,426.3078668106145,4.0,21.24809434261903,1
1,2158218569584,437.58984514141565,0.0,16.08638315354025,0
1,2158218569488,448.5468030638063,0.0,15.340049477018745,0
1,2158218566128,463.0236321332875,0.0,16.903825149144076,0
1,2158218567904,473.8360154272581,0.0,15.079126658840268,0
1,2158218567568,488.7336034594698,0.18155671490624659,16.789426058833083,0
1,2158218568768,500.109688297073,2.693662660129963,15.918942029667589,1
1,2158218569632,515.8340699198853,0.0,17.335193386480714,0
1,2158218569680,529.0991306145933,4.0,17.38357579346488,1
1,2158218566704,542.9722070336426,0.0,17.103847399457216,0
1,2158218566272,557.4082810943064,4.0,18.14393871576238,1
1,2158218568480,571.1068112204119,0.0,17.794452558248018,0
1,2158218568144,587.7079856321938,4.0,19.771353936936602,1
1,2158218569776,601.0744423588054,0.0,18.230852850380607,0
1,2158218566176,618.0765667833413,4.0,22.201164850431184,1
1,2158218569104,629.3902533129689,0.0,17.897632148147792,0
1,2158218569536,641.5474383561361,0.0,17.354056609027637,0
1,2158218568384,654.6881127740279,0.0,17.27006877763059,0
1,2158218569008,669.2657810402609,0.0,17.247432369796844,0
1,2158218566560,684.4757694136467,4.0,20.573205088514698,1
1,2158218568432,695.460803648016,0.0,15.930641322151372,0
1,2158218568624,708.8277391037448,0.0,17.293266520847737,0
1,2158218567952,724.711890150677,4.0,20.83780883540385,1
1,2158218568096,735.6156653920274,0.0,15.905328349350219,0
1,2158218569152,747.8609137953358,0.0,15.247341720941286,0
1,2158218566320,760.2507786351523,0.0,17.548727954219565,0
1,2158218568720,774.3960058814613,4.0,17.17902786282188,1
1,2158218566512,789.2226593221103,0.0,18.97286659422275,0
1,2158218568576,800.3472295702838,4.0,16.894747942958197,1
1,2158218568288,813.5262501319975,4.0,19.889473959555307,1
1,2158218569344,824.1837457733808,0.0,15.202855100292279,0
