step,time_sec,vehicle_id,x_position,speed,lane_index,is_controlled,crashed
0,0.0,2690269376624,946.2901028805537,21.77284527687416,1,False,False
0,0.0,2690269377584,959.2668723474095,21.569751266142966,1,False,False
0,0.0,2690269374848,973.5111773017223,22.422083557973274,0,False,False
0,0.0,2690269377344,985.9326447478923,23.38704252702863,1,False,False
0,0.0,2690269377296,998.5541189330298,22.646455568186067,1,False,False
0,0.0,2690269374896,1012.4841855575687,22.498796801239443,1,False,False
0,0.0,2690269376816,1026.6382682792723,22.302692820676096,0,False,False
0,0.0,2690269378208,1039.5599175361788,23.120175697041475,0,False,False
0,0.0,2690269377248,1053.4285230627945,23.620559235339716,1,False,False
0,0.0,2690269375856,1066.1715133893629,22.495326586185644,1,False,False
0,0.0,2690269378016,1079.998910789841,22.386222091496183,1,False,False
0,0.0,2690269375712,1093.6343943014676,23.970145941755177,1,False,False
0,0.0,2690269375376,1107.4007096894431,22.444476162487035,0,False,False
0,0.0,2690269377968,1121.6034020639927,22.2041680170902,1,False,False
0,0.0,2690269375184,1135.8757431890235,22.200619485412943,1,False,False
0,0.0,2690269377536,1149.1888638016505,21.695831077305357,1,False,False
1,0.2,2690269374656,233.32250929223918,23.511659807956104,1,True,False
1,0.2,2690269373072,246.38329468902757,22.277759744834327,1,False,False
1,0.2,2690269374704,259.2549645043565,20.0815959240626,0,False,False
1,0.2,2690269374752,273.65756746107564,21.702136277750558,0,False,False
1,0.2,2690269377776,286.4904277436594,20.628743962282154,1,False,False
1,0.2,2690269376192,299.2274326888305,19.801806571374637,1,False,False
1,0.2,2690269376000,311.769036082962,20.370075552258353,1,False,False
1,0.2,2690269377392,325.4159306605755,21.602873313613202,0,False,False
1,0.2,2690269373600,338.00666231602423,21.61610714973398,1,False,False
1,0.2,2690269375424,350.1240067637274,20.701624150800694,0,False,False
1,0.2,2690269376864,362.9676201299092,20.930888191388014,1,False,False
1,0.2,2690269377680,378.4028543039357,22.61387297059438,0,False,False
1,0.2,2690269377632,393.0235576028777,22.40655152610785,0,False,False
1,0.2,2690269375472,407.3693104458116,21.345339475929702,1,False,False
1,0.2,2690269377008,422.5884392352181,22.316996843114307,1,False,False
1,0.2,2690269375520,435.13629535690336,20.730544442466577,0,False,False
1,0.2,2690269377200,447.68785643219326,21.146636468463996,1,False,False
1,0.2,2690269377872,461.90206843293333,22.657148326182984,0,False,False
1,0.2,2690269376144,473.9894438249194,21.758102816657214,0,False,False
1,0.2,2690269377920,486.9581701525481,21.08954832605556,0,False,False
1,0.2,2690269375136,500.4287185639115,21.367886389219283,0,False,False
1,0.2,2690269375808,554.0540587505541,25.0,0,True,False
1,0.2,2690269375616,567.2246925747085,22.190657408480007,0,False,False
1,0.2,2690269376672,579.6478937060779,19.808835145394465,0,False,False
1,0.2,2690269376528,591.8820895211287,20.01442893007904,0,False,False
1,0.2,2690269374992,603.769563424001,20.201061629354747,0,False,False
1,0.2,2690269377440,616.036015608992,21.531462220651804,1,False,False
1,0.2,2690269376720,631.1755058919676,22.62429268297975,0,False,False
1,0.2,2690269375328,645.0722971663193,20.861784289814175,0,False,False
1,0.2,2690269376768,659.1476996196412,20.649568935490322,0,False,False
